##name	Shakespeare Words
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/04/26, 23:14
##author	Andy Boyle
##email	andyboyle@videotron.ca
##description	Shakespeare into modern english
##browsingEnabled	
##bgl_creationTime	2003/01/19, 16:41
8EAF66FD.bmp	File: 8EAF66FD.bmp
ALDERLIEFEST	dearest of all.
ALE	alehouse
alembic	device used for distilling wine
Aleppo	city in Syria [link]
alike bewitched	each of them equally enchanted.
all	thing in every way
All amort	completely dejected, depressed
all exercise	i.e., all their habitual activity.
ALL HID	the game of hide and seek.
ALLAYMENT	abatement; antidote (Cym. 1.5.22).
ALLICHOLLY	a corruption of melancholy.
ALLIGANT	a corruption of either 'elegant' or 'eloquent', used in Wiv. 2.2.69.
ALLOW	to approve
ALLOWANCE	approval
Allowed	acknowledged
ALMAIN	a German.
ALMS-BASKET	public charity (to live on public charity - LLL 5.1.42).
ALMS-DEED	act of charity.
ALMS-DRINK	remains of drink set aside for the poor.
ALMS-MAN	a person supported by charity.
ALOES	a bitter drug.
ALONE	unique.
ALTER	to exchange.
AMAIN	with force.
amaking	in course of progress
AMAZE	to bewilder, confound.
amazement	confusion
ambition	unscrupulous pursuit of power.
AMBLE	to move around with ease; to move affectedly.
amerce	punish.
AMES	ACE: two aces, the lowest throw of the dice
AMES-ACE	two aces, the lowest throw of the dice.
AMISS	misfortune; disaster.
AMORT	dead, dejected
AN	if.
an aide	de-camp
an icy	cold brook
ANCHOR	an anchorite, hermit
ANCIENT	an ensign-bearer
ANGEL	a coin, so called because it bore the image of an angel
ANIGHT	by night
annoyance	self-injury
Anon	soon
ANSWER	retaliation
Anters|Antres	caves
ANTHROPOPHAGINIAN	a cannibal ANTICK: the fool in the old plays
Antic	crazy
antic round	grotesque round dance
ANTICK	the fool in the old plays
Antique	Strange
ANTRE	a cave.
apace	quickly
APPARENT	heir-apparent
apparent prodigies	wonders that have appeared.
APPEAL	to accuse; accusation
APPEARED	made apparent
APPLE	JOHN: a kind of apple
Apple-john	a shriveled winter apple
APPOINTMENT	preparation
APPREHENSION	opinion
APPREHENSIVE	apt to apprehend or understand
APPROBATION	probation
APPROOF	approbation, proof
APPROPRIATION	special attribute or excellence..
APPROVE	to prove; to justify, make good
Approved	proved
APPROVER	one who proves or tries
Apricocks	apricots
AQUA-VITAE	ardent spirits.
AQUILON	the north wind.
ARABIAN BIRD	phoenix.
ARABIAN TREE	the tree of the phoenix.
ARCH	chief
ARGAL	a ridiculous word intended for the Latin ergo
ARGENTINE	silver
ARGIER	Algiers
Argo	therefore
ARGOSY	originally a vessel of Ragusa or Ragosa, a Ragosine; hence any ship of burden
ARGUMENT	proof, evidence; subject of debate; subject matter of discourse.
ARMIGERO	a mistake for Armiger, the Latin for Esquire
Aroin thee	go away, get lost
AROINT	found only in the imperative mood, get thee gone
aroint thee	begone.
arrant	out-and-out.
arras	tapestry.
ARREST	to seize; an order or decree.
Article	statement
ARTICULATE	to enter into articles of agreement to exhibit in articles
Artificial	skilled in art
As	that as
as thou list	any way you like.
ASK	to require
ASKANCE	to turn aside.
ASPECT	look, glance.
ASPEN	of the asp tree.
ASPERSION	sprinkling; hence blessing, because before the Reformation benediction was generally accompanied by the sprinkling of holy water
ASPIC	venomous serpent.
ASPIRE	to be ambitious; to rise; to mount up to (obs).
asquint	crookedly, falsely.
ASSAIL	to address with offers of love.
ASSAY	to attempt, test, make proof of.
Assay of reason	reasonable test
ASSINEGO	an ass
ASSUBJUGATE	to subjugate.
ASSURANCE	deed of assurance
ASSURED	betrothed
ASTRAE	goddess of justice.
atomies	miniature beings.
ATOMY	an atom; tiny being (insect).
ATONE	to put people at one, to reconcile to agree
ATTACH	to seize, lay hold on.
ATTASKED	taken to task, reprehended
ATTEND	to listen to
ATTENT	attentive
ATTORNEY	to employ as an agent To perform by an agent
Attorneyed	done by proxy
Attribute	reputation
AUDACIOUS	spirited, daring, but without any note of blame attached to it
aught	something, anything
AUGUR	augury
AUGUR (1)|AUGUR	carpenter's tool for creating holes in wood.
AUGUR (2)|AUGUR	a prophet; to prophesy (vb).
augur hole	obscure place
AUGURE	augury.
AUGURER	religious official among the Romans.
augurers	priests who interpreted omens.
Augurs	A group of ancient Roman religious officials who foretold events by observing and interpreting signs and omens
AUNT	old woman; a gossip.
AURICULAR	perceived by the ear.
AUSPICIOUS	favourable; spreading happiness.
auspicious mistress	as a favorable influence.
Austerity	strictness of life
AUTHENTIC	of authority.
Avail	profit
avarice	greed
AVAUNT	order to be gone.
AVE	MARY: the angelic salutation addressed to the Blessed Virgin Mary
AVE-MARY	recited in saying the Rosary.
AVERRING	confirming
Avise	to inform
AVOID	get rid of
AVOUCH	guarantee; an assurance.
avouches	affirms
AWELESS	fearless; that inspires no awe.
AWFUL	worshipful
AWKWARD	contrary
AY	yes.
AYE	ever.
BABE	a child's rag doll.
Baby	doll
BACCARE	stand back!
BACCHANAL	from Bacchus, Roman god of wine.
BACCHUS	the god of wine and the son of Zeus and Semele.
BACK	sound all the way through; rear of an army; support, backing; to mount (invented by Shk.).
BACK-FRIEND	a bailiff (usually the bailiff approached from the back to arrest the criminal); false friend.
Back-trick	a backwards jump in dancing
BACKWARD	what lies behind; in the past.
BACKWARDLY	perversely.
BACON	a man from the country.
BACON-FED	country-bred (the modern form is "chaw-bacon"); also slang for "fat".
BAFFLE	embarrass
BAG	to retreat without surrender of any goods.
BAIT	to harass (i.e. "bear-baiting").
BAKED-MEATS	meat-pies, pastry.
BALD	naked; bare; bare-headed.
BALDRICK	a belt.
BALE	evil; mischief; injury.
BALK	to let slip; to dispute logic.
BALKED	heaped, as on a ridge
BALLOW	syn. for cudgel.
BALM	the oil of consecration
BALMY	fragrant and soothing (invented by Shk.).
BALSAM	balm.
BAN	to curse
Band	bond
BANDY	to strike or throw; to contend, strive, or fight.
BANE	poison; murder, destruction, cause of death of another.
BANK	to sail by the banks
Bare	to shave
bark	small ship
BARM	yeast
BARN	a child
BARN (1)|BARN	a child.
BARN (2)|BARN	to store in a barn.
BARNACLE	a shellfish, supposed to produce the sea-bird of the same name
Barren	empty headed
Base|basest	a game, sometimes called Prisoners' base, blackest, dirtiest, of humble origin, low birth
BASE (1)|BASE	a boy's game, sometimes called "prisoners' base".
BASE (2)|BASE	reason.
BASE (3)|BASE	dark-coloured; low-lying.
BASE-COURT	outer court of a mansion or castle.
BASE-VIOL	an early version of a modern cello.
BASES	an embroidered mantle worn by knights on horseback, and reaching from the middle to below the knees
BASILISK	a reptile, said to kill with its breath; large cannon, made of brass.
BASIMECU	negative term for a Frenchman.
BASTA	enough
BASTARD	raisin wine
BASTARD (1)|BASTARD	sweet Spanish wine.
BASTARD (2)|BASTARD	counterfeit; false.
bastinado	thrashing or cudgeling.
BAT	FOWLING catching birds with a clap-net by night
BAT-FOWLING	catching birds in the dark with a bright light.
BATE	to flutter, as a hawk
BATE (1)|BATE	strife.
BATE (2)|BATE	a bird's beating wings.
BATE (3)|BATE	to blunt; to reduce or diminish.
Bated	excepted
BATLET	a small bat, used for beating clothes
batten	glut yourself.
BATTLE	army
BAVIN	used as a piece of waste wood, applied contemptuously to anything worthless
Baw-cock	a fine fellow
bawbling	small.
BAWCOCK	a fine fellow
BAWD	procurer
BAY	the space between the main timbers of the roof
BE	METE: to measure
Be-lee'd	left in the lurch (be-lee'd and calme'd)
BE-METE	to measure.
BE-MOILED	to befoul with dirt.
BEADSMAN	one who bids bedes, that is, prays prayers for another
Bear	capture
bear hard	bear a grudge against.
Bear in hand	to decieve with false hopes
beard	to confront boldly
BEARING	CLOTH: a rich cloth in which children were wrapt at their christening
BEARING-CLOTH	child's christening robe.
BEAT	to flutter as a falcon, to meditate, consider earnestly
BEAVER	the lower part of a helmet
Becoming	graceful
BED PRESSER	lazy person.
BEDLAM	the Hospital of St. Mary of Bethelem in London, used as an insane asylum.
bedlams	hags
BEEF-WITTED	thick-headed.
Beelzebub	the devil [audio] [link]
BEETLE	a mallet
BEETLE (1)|BEETLE	a kind of mallet.
BEETLE (2)|BEETLE	overhang threateningly.
Beetle-headed	stupid
beetles o'er	overhangs.
before	ahead (in merit)
beggarly account	very small number.
Beguile	to cheat, deprive of its due rights
Behave	to control
Behest	command
Behove	suits, is appropriate to
behoveful	necessary.
BEING	dwelling
BEING (1)|BEING	life, existence.
BEING (2)|BEING	abode; dwelling.
BELDAME	grandmother; hag.
beldams	hags
belike	probably.
bellman	bellmen rang bells to announce a death in Elizabethean times
BELLONA	the goddess of war (Macbeth is "Bellona's bridegroom").
Bellows-Mender	mender of the bellows of organs
Bench-hole	the hole of a privy
bend up	stretch tight, like a bow - reference back to sticking place
BENDING	stooping under a weight
benison	blessing
bent	determined
BENVENUTO	(Italian), welcome
BENVENUTO (Italian)|BENVENUTO	welcome
berattle	abuse.
Bergamo	town in Venetian territory, capital of Bergamasco, whose inhabitants were ridiculed as clownish
BERGOMASK	a rustic dance (named after the people of Bergamo, Venice).
Bergomask Dance	rude clownish dance practiced by town of Bergamo or of province of Bergamasco.
BESHREW	evil befal
Besort	to fit, to suit, suitability
bestowed	housed
BESTRAUGHT	distracted.
bestride	stands over
BETEEM	to pour out
BETID	happened
BETIDE	to happen.
betimes	at once.
betoken	indicate.
Beweep	weep for, bewail
bewray	reveal.
BEZONIAN	a beggarly fellow
biddy	common name for a hen.
BIDING	abiding-place
Bier	wagon, cart, (also a coffin bearing cart)
BIGGEN	a night-cap.
BILBERRY	the whortleberry
BILBO	a sword, from Bilboa, a town in Spain where they were made
BILBOES	fetters or stocks
BILL	a bill-hook, a weapon
BIN	been, are
BIRD	BOLT a bolt to be shot from a crossbow at birds
BIRD-BOLT	a bolt to be shot from a crossbow at birds.
bird of night	the owl.
BIRDING	part. hawking at partridges.
Birnam	A high hill twelve miles from Dunsinance
birthdom	native land
BISSON	blind
bite my thumb	an insulting gesture in Shakespeare's time. bite thee by the ear: a term of endearment, not of assault.
bladed	When the ear of the corn is still green
blanched	pale
BLANK	the white mark in the middle of a target; hence, metaphorically, that which is aimed at
blasted	barren.
blazon	proclamation (like a coat-of-arms, or possibly, a triumphant blast on the trumpet).
BLENCH	to start aside, flinch
BLENT	blended
blind	worm A glow worm
blinking idiot	that is, a fool's head.
Blistered	padded, puffed out
Blood	BOLTERED smeared with blood, passions
Blood-boltered	clotted with blood
BLOOD-DRINKING	"blood-drinking sighs": reference to the belief that every sigh causes the heart to lose a drop of blood.
BLOW	to inflate
Blowse	a coarse beauty
BOARD	to make advances to; accost
BOB	to strike, metaph. to ridicule, or to obtain by raillery
BOB (1)|BOB	to taunt.
BOB (2)|BOB	to cheat.
BOB (3)|BOB	to bang or thump.
bodements	prophecies.
BODGE	to give way.
BODIKIN	a corrupt word used as an oath. 'Od's Bodikin,' God's little Body
bodkin	dagger.
Boggle	to swerve, to hesitate
BOITIER VERT	green box
BOLD	to embolden
BOLLEN	swollen
Bolt	to sift, to refine
BOLTED	sifted, refined
BOLTER	a sieve
BOLTING	HUTCH a hutch in which meal was sifted
BOLTING-HUTCH	a hutch in which meal was sifted.
BOMBARD	a barrel, a drunkard
BOMBAST	padding
BONA	ROBA a harlot
BONA-ROBA	a harlot.
Bona-robas	flashily dressed sluts
BOND	that to which one is bound
BOOK	a paper of conditions.
BOOT	to help, to avail.
BOOTLESS	without boot or advantage, useless
BOOTS	bots, a kind of worm
BORE	calibre of a gun; hence, metaph. size, weight, importance
borne	handled
borne in hand	deluded
bosky	wooded.
BOSOM	wish, heart's desire
BOTS	worms which infest horses.
Bottle	bundle, truss
Bouncing	imperious
BOURN	a boundary.
bowers	glades.
Brabble	quarrel, brawl
Brabbler	a brawler
BRACE	armour for the arm, state of defence, readiness
brach	hound bitch.
BRAID	deceitful
Brain	to think of
brainsickly	foolishly.
BRAVE	boast
BRAVERY	finery; Boastfulness
BRAWL	a kind of dance
bray out	celebrate.
break his day	fail to pay on the prescribed day.
break with	break our news to, discuss.
BREAST	voice
BREATHE	to exercise.
BREATHING	exercising
BREECHING	liable to be whipt
BREED	BATE a breeder of debate, a fomenter of quarrels
BREED-BATE	a breeder of debate, a mischief-maker.
BREESE	the gadfly
BREWAGE	brewed drink.
BRIBE	BUCK: a buck given away in presents
BRIBE-BUCK	a buck given away in presents.
Brief	short statement
brief candle	life is compared to a candle flame. bring the device to the bar: bring the trick out into the open, to be judged (a flavor of the law is in these words).
briefly	quickly
BRING	to attend one on a journey
Broach'd	stabbed, spitted
broad	plain spoken
broad words	plain speaking
BROCK	a badger, a term of contempt
broil	battle
BROKE	to act as a procurer.
BROKEN	having lost some teeth by age.
Broken mouth	a mouth missing some teeth
BROKEN MUSIC	the music of stringed instruments.
broken sinews	racked nerves.
BROKER	an agent.
BROTHERHOOD	trading company
BROWNIST	a sectary, a follower of Brown, the founder of the Independents
BRUIT	noise, report, rumour
bruited	to spread news, make noise
BRUSH	rude assault
BUCK	suds or lye for washing clothes in
BUCK-BASKET	the basket in which clothes are carried to the.
BUCK-WASHING	washing in lye.
BUCKING	washing
Buckle	to fight with hand to hand
buckler	shield.
BUG	a bugbear, a spectre
Bugbear	a monster, a terrifying thing
BULLY	ROOK: a bragging cheater
BULLY-ROOK	a bragging cheater.
Bung	a pickpocket
BURGONET	a kind of helmet
BURST	to break
Burthen	burden
Buskin'd	wearing the Buskin- a boot with high heels worn by hunters
BUSKY	bushy
but soft	slowly.
BUTT	SHAFT a light arrow for shooting at a target
BUTT-SHAFT	a light arrow for shooting at a target.
BUXOM	obedient
by	judging by
by inch	meal, by portions of inches
BY'RLAKIN	by our little Lady: an oath
CABIN (1)|CABIN	temporary shelter; a cave; the den of an animal.
CABIN (2)|CABIN	to imprison; to dwell in a cabin.
CABLE	scope (a nautical metaphor used in Oth 1.2.17).
CACODEMON	evil spirit.
CADDIS	worsted galloon, so called because it resembles the caddis-worm
CADE	a cask or barrel
CADENT	falling.
CADMUS	son of Agenor, King of Phoenicia, and the founder of Thebes.
CADUCEUS	the wand of Mercury, around which two snakes are twined.
CADWALADER	last king of the Welsh. Known for his feats of valour against the Saxons.
CAESAR	supreme ruler; emperor.
CAGE	a prison
CAGE (1)|CAGE	a prison.
CAGE (2)|CAGE	a wicker-work basket.
CAIN	COLOURED: red (applied to hair)
CAIN-COLOURED	red (supposed color of Cain's hair).
Caitiff	slave, wretched person
CALCULATE	prophesy
CALIVER	a hand-gun
Callet	a drab, a trull
CALLET, CALLAT, CALLOT	a woman of bad character.
CALLING	appellation
CALM	qualm
CALM (1)|CALM	to becalm.
CALM (2)|CALM	confused with "qualm" in 2KH4 3.4.39.
CAMEL	derrogatory name for an awkward person.
CAMELOT	the court of King Arthur.
CAN	to know, be skillful in
CANAKIN	a little can
CANARY	a wine brought from the Canary Islands
CANARY (1)|CANARY	a wine brought from the Canary Islands.
CANARY (2)|CANARY	lively Spanish dance.
CANARY (3)|CANARY	mistaken for "quandary" by Mrs. Quickly in Wiv. 2.2.61.
CANCER	the fourth sign of the zodiac.
CANDIDATUS	candidate for Roman office, named after the white gown worn by Roman senators.
CANDLE	WASTERS persons who sit up all night to drink
CANDLE-CASE	case to store candles.
CANDLE-HOLDER	one who lights others while they work.
CANDLE-MINE	a mass of tallow.
CANDLE-WASTER	one who wastes candles by studying late into the night.
cank'red, cankered	rusty, malignant (a canker is a bud-destroying worm; hence cancer).
CANKER	a caterpillar; The dog-rose
Canker-Blossom	the worm that eats into blossoms
Cankers	worms
CANSTICK	a candlestick
CANTLE	a slice, corner
CANTON	a canto
cantons	love songs (cantos). cap-a-pe: fully armed from head to foot.
CANVAS	to sift: hence, metaphorically, to prove
CANVASS	to deal with severely; to toss.
CANZONET	a short song.
CAP	a head-covering; give up for lost; top, chief.
CAP-A-PE	from head to foot.
CAPABLE	subject to Intelligent; Capable of inheriting Ample, capacious
Capacity	ability to understand
CAPER	the flower of the caper-bush, used for pickling.
CAPET	Hugh Capet, the first French king of the Capetian dynasty.
CAPITULATE	make a combined force
CAPOCCHIA	a simpleton
CAPRICCIO	caprice.
CAPRICIO	caprice
CAPRICIOUS	lascivious
CAPTIOUS	capacious
CARACK	a large ship of burden, treasure ship
CARBONADO	meat scotched for broiling.
CARD	playing-card; to mix with something foul.
carded	mixed with something base. The word was in use from 1590 to 1635 for mixing different kinds of drink.
CAREIRE	the curvetting of a horse
CARKANET	a necklace
CARL	a churl
Carlot	a peasant
CAROUSE	a toast.
carrion men	decaying corpses.
carrions	living carcasses.
Case	the skin of an animal
cashier'd	dismissed
cashiered	dismissed (but not necessarily without honor).
casing	enveloping
CASSIBELAN	Cassivelaunus, King of the Britons during Caesar's reign.
Cast	discharge
CASTILIAN	a native of Castile; used as a cant term
CASTILIANO VULGO	a cant term, meaning, apparently, to use discreet language
cat in the adage	"The cat would eat fish, but would not wet her feet."
CATAIAN	a native of Cathay, a cant word
catch	musical round.
cater-cousins	close friends.
caterwauling	making a wailing noise like a cat. From Middle English cat + wawen, to wail (an onomatopoetic word, whose sound echoes its meaning).
CATLING	cat-gut
Catlings	catgut strings for musical instruments
CAUTEL	deceit.
CAUTELOUS	deceitful.
CAVALERO	a cavalier, gentleman
CAVIARE	the roe of sturgeon pickled; metaph. a delicacy not appreciated by the vulgar
CEASE	put off, made to cease
CEASE (1)|CEASE	cessation.
CEASE (2)|CEASE	silence.
Censure	opinion, judgment (usually negative)
censures	opinions
CENTURY	one hundred years or men.
cerecloth	shroud. [The Merchant of Venice]
cerements	winding-sheets, shroud. [Hamlet]
ceremony	courtesy
CERTES	certainly
Certify	to inform, to make certain of
CESS	rate, reckoning
CH'ILL	vulgar for 'I will.'
CHACE	a term at tennis.
chafing with	beating on. [Julius Caesar]
chalice	a cup or goblet
chalked forth	indicated the direction. [The Tempest]
Challenge	claim the right
CHAMBER	a species of great gun
CHAMBERER	an effeminate man.
chamberlains	attendants in a bed chamber
champain	flat, open country. [Twelfth Night]
changed eyes	fallen in love; the phrase, arising from the exchange of amorous glances, was a common Elizabethan one. [The Tempest]
Changeling	a child substituted by the fairies for the one stolen by them
Channel	gutter Chapless- without jaws
CHANSON	a song
Chapfallen	depressed
chaps	jaws
CHARACT	affected quality
CHARACTER	a letter, handwriting; to carve or engrave
CHARACTERY	handwriting; That which is written
CHARE	a turn of work.
CHARGE	HOUSE
CHARGE-HOUSE	a boarding-school.
chariest	most modest and virtuous. [Hamlet]
CHARLES' WAIN	the constellation called also Ursa Major, or the Great Bear
charmingly	for the Elizabethans the word "charm" usually carried a reference to magic, as it does here. [The Tempest]
CHARNECO	a species of sweet wine
charnel houses	houses for storing the bones of the dead [link]
Charter	privilige
chastise	nag, criticize, reprimand
chaudron	entrails
CHEATER	for escheator, an officer who collected the fines to be paid into the Exchequer A decoy
Check|cheque	to rebuke, to stop, to reprimand
checking at	swerving aside from. [Hamlet]
Cheek by Jole	cheek to cheek, side by side
CHEER	fortune, countenance
CHEQUE|check	a technical term in falconry; when a falcon flies at a bird which is not her proper game she is said to cheque at it
CHEQUES	perhaps intended for ethics
CHEQUIN	sequin, gold coin of Turkey and Italy.
CHERRY	PIT a game played with cherrystones
CHERRY-PIT	a game played with cherrystones.
cherubin	angels in the second order [link]
CHEVERIL	kid leather, glove
cheveril glove	kid leather (easily stretchable). [Twelfth Night]
CHEWIT	cough
Chiding	barking
CHILDING	pregnant
CHILL	'I will'.
chinks	cash (from the clatter of the coins). [Romeo and Juliet]
CHIRURGEONLY	like a skilled surgeon.
chop-logic	one who bandies logic; one who exchanges trivial points of logic. [Romeo and Juliet]
CHOPIN	a high shoe or clog
CHOPINE	a high shoe with a cork sole, worn in Renaissance Italy and Spain.
Choppy	chapped
chopt	chapped. [Julius Caesar]
chough	jackdaw (i.e., a chatterer). [Hamlet]
CHRISTENDOM	the state of being a Christian
Christian cursy	Christian charity. [The Merchant of Venice]
CHRISTOM	clothed with a chrisom, the white garment which used to be put on newly-baptized children
CHRISTOM CHILD	child in its christening garment.
CHUCK	chicken, a term of endearment
CHUFF	a coarse blunt clown
Churl	boor, peasant, countryman, rustic
CINQUE PACE	a kind of dance
CIPHER	to decipher
CIPHER (1)|CIPHER	zero, a mere nothing.
CIPHER (2)|CIPHER	to decipher.
CIRCUMSTANCE	a condition; the state of affairs.
CITAL	recital
CITE	to incite
Citizen	a person of the town, an effeminate fellow
CITTERN	a guitar
civet	perfume. [King Lear]
CLACK	DISH a beggar's dish CLAP I' THE CLOUT to shoot an arrow into the bull's eye of the target
Clack dish	a begging bowl
clad	Y-CLEPED called, named
Clapper-claw	to beat, to thrash
CLAW	to flatter
cleave to	stick to
cleave to my consent	lend support or allegiance
clepe	call. [Hamlet]; "clept." [Macbeth]
clept	called
Clerk	scholars
CLIFF	clef, the key in music
climatures	regions. [Hamlet]
CLING	to starve
CLINQUANT	glittering.
CLIP	to embrace, enclose
clodpole	blockhead. [Twelfth Night]
Closely	secretly
closet	desk
CLOUT	the mark in the middle of a target
CO	MART a joint bargain
CO-MART	a joint bargain.
COAST	to advance
cobbler	this means bungler as well as shoemaker. [Julius Caesar]
COBLOAF	a big loaf.
COCK	AND-PIE: an oath
COCK (1)|COCK	a cockboat.
COCK (2)|COCK	a spout to release liquor.
COCK-AND-PIE	an oath.
COCK-SHUT-TIME	the twilight, when cocks and hens go to roost.
cockatrices	mythological creatures, half serpent, half cockerel, famed for killing at a glance. [Twelfth Night]
COCKLE	tares or darnel
COCKNEY	a cook
Codding	lecherous
Codling	an unripe apple; also slang for testicles
COG	to cheat, dissemble
COGNIZANCE	badge, token.
COIGN	projecting corner stone
coign of vantage	convenient corner
COIL	tumult, turmoil
COLLECTION	drawing a conclusion.
COLLIED	blackened. Othello;
collier	coal-miner. [Twelfth Night]
Colmekill	place where Scottish kings were buried, on the island of Iona
colors	flags
Colossus	the huge statue of Apollo at the harbour of Rhodes. It was erroneously thought that its legs spanned the harbour entrance. [Julius Caesar]
COLOUR	pretence.
COLOURABLE	specious.
COLT	to defraud, befool.
COMBINATE	betrothed
COMBINE	to bind.
Comment	to devise, invent
COMMODITY	interest, profit
common proof	common experience. [Julius Caesar]
COMMONTY	used ludicrously for comedy
COMPACT	compacted, composed
COMPARATIVE	rival
COMPARE	comparison
Compare with	try to rival
compass	bring about. [Twelfth Night]
compassed	surrounded
COMPASSIONATE	moving comparison
COMPETITOR	one who seeks the same thing, an associate in any object
COMPLEMENT	accomplishment
COMPLEXION	passion
Compliment	ceremony
compliment extern	outward appearance. [Othello]
COMPOSE	to agree
Composition	agreement, consistancy
COMPOSTION	composition
COMPTER	counter.
COMPTIBLE	tractable
compunctious	having feelings of pity
CON	to learn by heart.
CONCAVE	hollow.
concave shores	overhanging banks. [Julius Caesar]
CONCEIT	conception, opinion, fancy
CONCEPTIOUS	fruitful.
Concern	accord with, befit
CONCUPISCIBLE	lustful.
CONCUPY	concubine
CONDITION	temper, quality
CONDOLEMENT	grief
CONDUCT	escort
CONFECT	to make up into sweetmeats
CONFOUND	to consume, destroy
confounds	to ruin or destroy
Confusion	ruin
CONJECT	conjecture
CONSANGUINEOUS	of the same blood.
CONSCIONABLE	conscientious.
Consent	agreement, plot
CONSIGN	to sign a common bond, to confederate
CONSORT	company; to accompany
CONSTANCY	consistency
CONSTANT	settled, determined
CONSTANTLY	firmly
CONSTER	to construe
Contagious	pestilential
contagious blastments	destructive blights. [Hamlet]
contemned love	love that is given but not returned. [Twelfth Night]
CONTEMPTIBLE	contemptuous
Content	substance (possibly male semen)
CONTINENT	that which contains anything That which is contained
Continents	banks
CONTINUATE	uninterrupted
contracted bachelors	young men who are engaged to be married and whose banns are being called in church. [King Henry IV, Part 1]
CONTRACTION	the marriage contract
CONTRARY	to oppose
CONTRIVE	to conspire; to wear away
CONTROL	to confute
CONVENT	to convene, summon to be convenient
Convert	to change, to turn to, give attention to
Converted	to turn away, avert, change religion, handed over or changed
CONVERTITE	a convert
CONVEY	to manage To filch
Conveyance	theft, fraud, escort
CONVICT	convicted
CONVICTED	overpowered, vanquished A doubtful word
CONVINCE	to conquer, subdue.
CONVIVE	to feast together.
CONVOY	escort.
CONY	CATCH to cheat
CONY-CATCH	to cheat.
CONY-CATCHING	poaching, pilfering.
