##name	Tunneling
##sourceLang	Hebrew
##targetLang	English
##bgl_defaultCharset	cp1255
##bgl_sourceCharset	cp1255
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1255
##bgl_sourceEncoding	cp1255
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	theNoam
##copyright	<br>&copy; <a href="http://thenoam.com/">theNoam</a>
##description	Hebrew to English Dictionary for Geo-Engineering, Tunneling, Civil Engineering, Construction Works etc.
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2006/08/24, 09:35
##bgl_middleUpdated	2012/05/23, 14:58
##bgl_lastUpdated	2012/05/23, 14:58
אבטחת איכות|א"א	Quality Assurance
הצפה|הצפות	Flooding
הקמה	Eraction
הקפאה	Freezing
הקצה העליון של קיר הדיפון|קצה עליון של קיר דיפון	Wall Crest
הקשחה|הקשחות	Stiffening
הרחבת חתך המנהרה|הרחבה|הרחבות|הרחבות המנהרה|הרחבת המנהרה|הרחבת חתך מנהרה|הרחבת מנהרה	Widening
הרכב כימי	Chemical Composition
הרפיה|הרפייה	Relaxation
הרפיית מאמצים|הרפיות מאמצים	Stress Relaxation
השבה	Recovery
השבת גלעין|השבת הגלעין	Core Recovery
השענה|השענות	Support
השערה|הנחה|תפיסה	Assumption
השפלת מי תהום|השפלה|השפלת מים	Dewatering
השפעה	Impact
התאוששות	Recovery
התדרדרות פני הבטון	Scaling
התזת בטון|תהליך התזת בטון	Shotcreting
התכנות|בדיקת היתכנות לפרויקט|בדיקת התכנות לפרויקט|היתכנות	Feasibility
התכנסות	Convergence
התמוטטות	Collapse
התמוטטות בשרשרת|התמוטטויות בשרשרת|התמוטטויות שרשרת|התמוטטות שרשרת	Progressive Collapse
התנגדות לגזירה|התנגדות הגזירה	Shear Resistance
התנגדות לגלגול|התנגדות לגילגול	Rolling Resistance
התנגדות שיפועית	Grade Resistance
התנהגות מבנית	Structural Behavior
התעייפות	Fatigue
התפצלויות|התפצלות	Splits
התקדמות	Advance
התקלפות|התפוררות קרקע	Slaking
התקמרות רצפה	Floor Heave
התקן הבריטי	British Standard
התקן פענוח|התקן פיענוח|התקני פיענוח|התקני פענוח	Encoder
התקשות	Hardening
התקשרות	Setting
התרוממות	Heave<BR>Heaving
וו	Bend
זהירות	Caution<BR>Care<BR>Safety
זוויתי	Angular
זוית המדרון	Angle of Slope
זוית חיכוך פנימית|זוית החיכוך הפנימית|פי	Friction Angle
זחילה	Creep<BR>Squeeze
זיון|זיון הבטון	Reinforcement<BR>Reinforcing
זיון בסיב חיצוני|זיון חיצוני|זיון סיב חיצוני	Outer Reinforcement
זיון היקפי	Circumferential Reinforcement
זיון הסלע|זיון זלע	Rock Reinforcement
זיון לכפיפה|זיון כנגד כפיפה|זיון כפיפה	Flexural Reinforcement
זיון למתיחה|זיון מתוח|זיון מתיחה	Tensile Reinforcement
זיון משיך	Extensible Reinforcement
זיון סיב פנימי|זיון בסיב פנימי	Inner Reinforcement
זמן הרכבה|זמני הרכבה	Set-Up Time
זמן עמידה|משך זמן העמידה	Stand up Time<BR>The Bridge Action Period<BR>
זמני	Temporary
זר חותך	Cutting Edge
זרוע חותכת	Cutting Excavator
זרוע פנימית	Lever Arm
זרימת מים לתוך המנהרה|זרימת מים|זרימת מים פנימה	Inrush of Water
חד צירי	Uniaxial
חדירה	Punching
חדירות|כושר הקרקע להעביר מים	Permeability
חדירת הצמיג לקרקע|חדירת גלגל|חדירת גלגל בקרקע|חדירת צמיג|חדירת צמיג בקרקע|חדירת צמיג לקרקע	Tire Penetration
חדר ועמוד	Room and Pillar
חוואר|חווארים	Marl
חוואר קירטוני|חוואר קרטוני	Chalky Marl
חוות דעת נוספת	
חוות דעת שנייה|חוות דעת נוספת	Peer Review<BR>Second Opinion
חוזק|חוזקים	Strength
חוזק אופייני|חוזק אופיני	Characteristic Strength
חוזק אמיתי	Actual Strength
חוזק במצב גבולי של הרס|חוזק במצב גבולי	Ultimate Strength
חוזק כנגד גזירה|חוזק גזירה|חוזק לגזירה	Shear Strength
חוזק כניעה במתיחה|מאמץ כניעה במתיחה|מאמצי כניעה במתיחה	Tensile Yield Strength
חוזק לגזירה|חוזק גזירה|חוזקי גזירה	Shearing Strength
חוזק לחיצה חד צירי	Uniaxial Compressive Strength - UCS
חוזק לחיצה חד-צירי של מסת הסלע|חוזק לחיצה חד צירי|חוזק לחיצה חד-צירי	Intact Uniaxial Compressive Strength
חוזק לכפיפה|חוזק בכפיפה|חוזק כנגד כפיפה	Flexural Strength
חוזק למתיחה|חוזק מתיחה	Tensile Strength
חוזק מסת הסלע בלחיצה	Rock Mass Compressive Strength
חוזק מסת הסלע במתיחה	Rock Mass Tensile Strength
חוזק קובייה	Cube Strength
חוזק תכן	Design Strength
חול|חולות	Sand
חול חרסיתי	Clayley Sand
חול טיני	Silth Sand
חול תחוח	Loose Sand
חומה|חומות	Wall
חומר מילוי|חומרי מילוי	Infilling
חומר מעכב שיתוך	Anti Corrosion Compound
חומרי בניין	Building Materials
חופה	Canopy
חזית בחתך מלא	Full Face
חזית הכרייה|חזית	Face
חזית מעורבת	Mixed Face
חיבור	Connection
חיזוק הבטון המותז|זיון הבטון המותז|חיזוק בטון מותז|עיבוי הבטון המותז	Strengthening of Shotcrete
חיכוך פנימי בגלגל|חיכוך פנימי בצמיג	Tyre Internal Friction
חיפוי	Cladding
חיצוב חסר|כרייה חסרה	Underbreak
חישובים|חישוב	Calculations
חישוק|חישוקים	Stirrup<BR>Hoop<BR>Link
חיתוך	Cutting
חלוץ|מנהרת חלוץ	Pilot
חלוקה מחדש של מומנטים|חלוקה מחדש של מומנטי כפיפה|רדיסטריביוציה	Moment Redistribution
חלוקים	Pebbles
חלוקת נטל הסיכון|חלוקת נטל הסיכונים|חלוקת נטל סיכון|חלוקת נטל סיכונים	Risk Sharing
חלחול|תנועת המים בקרקע|תנועת מים בקרקע	Seepage
חלל בפני הבטון	Hollow Area
חלל המסה|חללי המסה	Solution Cavity
חלק|חלקים	Section
חלקות	Smoothness
חמור|חמורה|חמורות|חמורים	Severe
חסין אש	Fire Resistant
חספוס|חיספוס|מידת החיספוס|מידת החספוס	Roughness
חפורת	Debris
חפייה|חפיות	Overlap
חפיפה אורכית|חפיפות אורכיות	Longitudinal Overlap
חפירה|חפירה בידיים	Digging<BR>Dig
חפירה בידיים|חפירה ביד|חפירה עדינה	Hand Excavation
חפירה וכיסוי	Cut and Cover
חפירה ממוכנת|כרייה ממוכנת	Mechanical Excavation
חפירה פתוחה	Open Cut
חציבה	Excavation
חציר	Hay
חציר שמקורו בביצה	Marsh Hay
חקירה|חקירות	Investigation
חרסית	Clay
חרסית ההעתק|חרסיתות ההעתק	Gouge
חרסית חולית|חרסית חולי	Sandy Clay
חרסית קשה|חרסיות קשות|חרסיתות קשות	Hard Clay
חרסית רכה|חרסיות רכות|חרסיתות רכות	Soft Clay
חשוב|חשובים	Significant
חתך|חתכים	Section
חתך קמור	Convex Section
חתך קמץ|חתך בצורת קמץ	T Section
חתך רוחב|חתכי רוחב	Cross Section
חתך רוחב אופייני|חתכי רוחב אופייניים	Typical Cross Section
חתך ריש|חתך בצורת האות ריש	L Section
טבלה|טבלות	Slab<BR>Plate
טבלת קרום	Composite Panel Deck
טבעת מתיחה|טבעות מתיחה	Tension Ring
טווח ארוך	Long Term
טוף	Tuff
טופס מיון מוקדם|פידיק	FIDIC
טיוטה|טיוטות	Draft<BR>Rough
טיח תרמי	Thermal Plaster
טין	Silt
טיפול בפורטל	Portal Treatment
טכנולוגית מנהור|טכנולוגית מינהור	Trenchless Technology
טנטטיבי|זמני|ניסיוני	Tentative
טענה	Claim
טפסות|טפסה	Formwork<BR>Forms
טריז|טריז סלע	Rock Wedge<BR>Wedge
טריזי מילוי	Backpacking Wedges
טרקטור דחפור|דחפור|דחפורים	Bulldozer Tractor
טרקטור יעה קדמי|יעה	Front End Loader Tractor
יועץ|יועצים	Consultant
יזם|בעלים	Owner
יחידה גיאולוגית|יחידה גאולוגית	Geological Unit
יחידת מיתוג|יחידות מיתוג	Switching Unit
יחס התמירויות|יחס תמירויות	Slenderness Ratio
יחס התמירות|יחס תמירות	Slenderness Ratio
יחס חלוקת המאמצים|חלוקת המאמצים|חלוקת מאמצים|יחס חלוקת מאמצים	Stress Ratio
ייצוג גרפי|תרשים	Graphical Representation
יישום	Application
יסוד|יסודות	Footing
יסוד הדיפון|ביסוס הדיפון|יסודות הדיפון	Liner Foundation
יסוד נמשך	Continuous Footing
יסוד רדוד|יסוד בעומק רדוד|יסודות בעומק רדוד|יסודות רדודים	Shallow Foundation
יצוק	Cast
יצוק באתר|יצוק במקום	Cast in Place
יציבות	Stability
יציבות חזית הכרייה	Face Stability
יציקה באתר	Cast in Situ
יציקת בטון|יציקה	Casting
יריעה|יריעות	Sheet
יריעה גיאוטכנית|גאוטכסטיל|גיאוטקסטיל|יריעה גאוטכנית|יריעות גאוטכניות|יריעות גיאוטכניות	Geotextile
יריעות איטום|יריעת איטום|ממברנת איטום	Waterproofing Membrane
כבול	Peat
כביש ראשי|דרך	Highway
כובע מגן|קסדה	Helmet
כוח|כח	Force
כוח גזירה|כוחות גזירה|כח גזירה|כחות גזירה	Shear Force
כוח דריכה מרבי|כוח דריכה מירבי|כוח הדריכה המרבי|כח דריכה מירבי|כח דריכה מרבי|כח הדריכה המרבי	Proof Load
כוח הדחיקה|כוח דחיקה|כוחות דחיקה|כוחות הדחיקה|כח דחיקה|כח הדחיקה	Jacking Force
כוח לחיצה|כח לחיצה	Compressive Force<BR>Axial Force
כוח מרוכז|כוחות מרוכזים|כח מרוכז	Concentrated Load
כוח מתיחה|כוחות מתיחה|כח מתיחה|כחות מתיחה	Tensile Force
כוח עילוי|כוחות עילוי|כח עילוי|כחות עילוי	Lift Force
כוח צירי|כוחות ציריים	Thrust
כוחות סטטיים|כוח סטטי|כח סטטי|כחות סטטיים	Static Forces
כוחות קשירה|כח קשירה	Cohesive Forces
כורכר|כורכרים	Kurkar, Coarse Sandstone<BR>Calcareous sands, cemented to varying degrees to form cemented sandstone embedded in relatively clean sands or sandstone layers of considerable unconfined compressive strength
כיוון המישור|כיווני המישור	Strike
כיסוי הזיון|גובה כיסוי הבטון לזיון|כיסוי	Concrete Cover
כיסוי קרקע	Cover
כלוא	Confined
כלוב זיון|כלוב	Cage
כלוב זיון אליפטי|זיון אליפטי|כלוב אליפטי	Eliptical Cage
כלוב זיון חיצוני עגול|כלובי זיון חיצוניים עגולים	Outer Circular Cage
כלוב זיון פנימי עגול|כלוב זיון עגול פנימי	Inner Circular Cage
כלונס|כלונסאות|קלונס|קלונסאות	Pile<BR>Soldier Pile
כלונס חיכוך|כלונסי חיכוך|קלונס חיכוך|קלונסי חיכוך	Friction Pile
כלונס קצה|קלונס קצה	End Bearing Pile
כלונסאות חופפים|כלונס חופף	Secant Piles
כלי עבודה ממונעים	Power Tools
כלי עבודה על בסיס אוויר דחוס	Pneumatic Power Tools
כמות|כמויות	Quantity
כנדרש	As Required
כניעה	Yield
כף מלתעות	Clamshovel
כפיס|כפיסים	Stick
כפיפה	Bending
כפף	Deflection
כפף דריכה	Camber
כרייה	Mining
כרייה בשלבים|חפירה בשלבים|חציבה בשלבים	Excavation by Steps
כרייה תת קרקעית	Underground Mining
כריית יתר	Over Cut<BR>Over Break
כשל	Failure
כשל גזירה|כשל עקב מאמצי גזירה	Shear Failure
כתב כמויות|כתבי כמויות	Bill of Quantities
לא הורס	Non-Detructive
לא יציב|לא יציבים	Unstable
לא מופר	Undisturbed
לא ממדי|לא מימדי	Non Dimensional
לא סדוק|ללא סידוק	Crack Free
להבהיר	Define
להגביל	Define
להגדיר	Define
להכריע	Dominate
להעמיס	Load
להעריך	Evaluate
לוח|לוחות	Plate<BR>Sheet<BR>Slab
לחות	Humidity
לחיצה	Compression
לחץ|לחצים	Pressure
לחץ אטמוספרי	Atmospheric Pressure
לחץ הידרוסטטי	Hydrostatic Pressure
לחץ הקרקע|לחץ קרקע|לחצי הקרקע|לחצי קרקע	Earth Pressure
לחץ מפורס אחיד	Uniform Pressure
לחץ עפר פעיל	Active Earth Pressure
לחץ קרקע פסיבי|לחץ קרקע פאסיבי	Passive Earth Pressure
לחשב	Calculate
לייצב|ליצב	Stabilize
ללא תימוך|חסר תמיכה|חסרי תמיכה|לא תמוך|לא תמוכים	Unsupported
לנתח	Analyse
לס	Loess
לפוצץ	Blasting
לשלוט	Dominate
לתחום	Define
מאוורר יניקה	Air Exhaust Fan
מאוזן|אופקי	Level
מאיץ	Accelerator
מאיץ התקשות	Accelerator
מאמץ|מאמצים	Stress
מאמץ אופקי|מאמצים אופקיים	Horizontal Stress
מאמץ אנכי|מאמצים אנכיים	Vertical Stress
מאמץ גזירה|מאמצי גזירה	Shear Stress
מאמץ כניעה בגזירה|מאמץ כניעה לגזירה	Shear Yield Stress
מאמץ לחיצה|מאמצי לחיצה	Compressive Stress
מאמץ מגע|מאמצי מגע	Contact Pressure
מאמץ מותר	Allowable Stresses
מאמץ מתיחה|מאמצי מתיחה	Tensile Stress
מאמץ נורמלי|מאמצים נורמליים	Normal Stress
מאמץ צירי	Axial Pressure
מאמץ ראשי|מאמץ בכיוון ראשי|מאמצים ראשיים	Principal Stress
מאמץ ראשי משני|מאמץ ראשי מישני|מאמצים ראשיים מישניים|מאמצים ראשיים משניים	Minor Principal Stress
מאמץ ראשי עיקרי|מאמצים ראשיים עיקריים	Major Principal Stress
מאפיין|מאפיינים	Characteristic
מאפייני החומר|מאפיין החומר|מאפיין חומר|מאפייני חומר|פרמטרים פיזיקליים המאפיינים חומר	Material Properties
מאפייני חתך|מאפיין חתך	Section Properties
מאפייני מסת הסלע	Mass Rock Properties
מאפייני סלע בריא	Intact Rock Properties
מאפיינים	Properties
מבחן תסבולת	Bearing Test
מבחן תסבולת קצה	Plate Bearing Test
מבט אורכי|מבטים אורכיים	Longitudinal View
מבנה|מבנים	Structure
מבנה אטים מים|מבנה אטים למים	Cofferdam
מבנה בני	Masonry Structure
מבנה הסלע|מבנה סלע	Rock Structure
מבנה הקרקע|מבנה קרקע|מבני הקרקע	Strata
מבנה מגן|מבני מגן	Protective Structure
מבנה סלע סדוק בינוני|סלע סדוק בינוני	Moderately Jointed Rock
מבנה עץ|מבני עץ	Timber Structure
מבנה פלדה|מבני פלדה	Steel Structure<BR>Structural Steelwork
מבנה רב קומות|גורד שחקים|גורדי שחקים|רב קומות|רב-קומות|רבי קומות	Multi-Story Building (US)<BR>Multi-Storey Building (BR)
מבנה שכבות נטוי|שכבות נטויות	Inclined Strata
מבני	Structural
מגדל השינוע|מגדל שינוע	Headgear
מגה פסקל|מגה-פסקל|מגפ"ס	Mega Pascal - MPa
מגיש הצעת המחיר|מגיש המכרז	Bidder
מגן|מגנים	Shield
מגן לחץ אוויר	Air Pressurised Shield<BR>Air Pressure Shield
מגן מחפר	Backhoe Shield
מגן פתוח|ראש כרייה פתוח	Open Shield
מגרדה ממונעת|מגרדה|מגרדות|מגרדות ממונעות	Motor Scraper
מגרסת חצץ|מגרסה|מגרסות|מגרסות חצץ	Stone Crusher
מד התכנסות	Convergence Meter
מד זרימה|מדי זרימה	Flow Meter
מד לחץ|מדי לחץ	Pressure Gauge
מד תזוזה|מדי תזוזה	Extensometer
מדוייס	Groutable
מדחס אוויר|מדחסי אוויר	Air Compressor
מדי התכנסות|מד התכנסות	Convergence Meters
מדי שקיעה|מד שקיעה	Convergence Meters
מדי תזוזה רב נקודתיים|מד תזוזה רב נקודתי	Multipoint Borehole Extensometers<BR>MPBX
מדרון|מדרונות|מידרון|מידרונות	Slope
מדריך|מדריכים	Handbook
מדרכה|מדרכות	Pedestrian Footway
מהדק קרקע|מהדקי קרקע|מרטט|מרטטים	Vibratory Compactor
מהירות|מהירויות	Velocity
מהירות חלקיק|מהירויות חלקיק	Partical Velocity<BR>Peak Particle Velocity - PPV
מהנדס	Engineer
מהנדס אזרחי|מהנדס בניין	Civil Engineer
מהנדס בניין|מהנדס ביניין|מהנדסי ביניין|מהנדסי בניין	Structural Engineer
מוביל נמוך|מובילים נמוכים	Trailer Low Bed
מובל	Duct
מובל אוורור|מובל איוורור	Air Duct
