##name	Tunneling
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	theNoam
##copyright	<br>&copy; <a href="http://thenoam.com/">theNoam</a>
##description	English to Hebrew Dictionary for Geo-Engineering, Tunneling, Civil Engineering, Construction Works etc. 
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2005/09/04, 07:42
##bgl_middleUpdated	2012/05/23, 14:57
##bgl_lastUpdated	2012/05/23, 14:57
Abrasion	דיוס מדורג יורד
Centerline|Center Line	קו מרכז. ציר מרכז הדרך, לא תמיד בציר הסימטרייה של חתך המנהרה
Centralizers	שומרי מרווח
Centroid	מרכזית של שטח
Chainage	מספר חתך על גבי ציר מוגדר
Chalk	קרטון. אבן גיר דק גרגר
Chalk with Chert	קרטון ורובדי צור
Chalky Limestone	גיר קירטוני
Chalky Marl	חוואר קירטוני
Chambers	אולמות
Characteristic|Characteristics	מאפיין
Characteristic Strength	חוזק אופייני
Characteristic Value|Characteristic Values	ערך אופייני
Charge Level	רמת המטען, ערך מחושב המשמש לבקרת פיצוץ
Check List	בידוק
Checks	סדקים (checks) מוגדרים כסידוק שנמשך בתוך רכיב העץ באופן חלקי, ונגרם עקב הצטמקות בשל התיבשות. סידוק החוצה לחלוטין את הרכיב מוגדר כהתפצלויות (splits)
Chemical Composition	הרכב כימי
Chemical Resistance	עמידות כימית
Cherry	עץ דובדבן
Chert	צור
Circular Tunnel|Circular Tunnels	מנהרה בחתך עגול, מבוצעת בדרך כלל עם ראש מגן עגול או מכונת מנהור בחתך מלא
Circumference	היקף
Circumferential	היקפי
Circumferential Reinforcement	זיון היקפי
Civil Engineer	מהנדס אזרחי, מהנדס בניין
Civil Engineering	הנדסה אזרחית, מונח המתאר תחום רחב הכולל בתוכו: הנדסת בניין, הנדסת תחבורה, הנדסת קרקע, הנדסת סביבה ועוד...
Cladding	חיפוי
Claim	תביעה, טענה
Clamped Support|Clamped	סמך רתום
Clamshell|Grab	מחפר, מחפר חופנים
Clamshovel	כף מלתעות.<BR>כלי הנדסי המשמש לתפיסה והרמה, למילוי עצמי ושפיכה מבוקרת
Classification	מיון
Clay	חרסית
Clayley Gravels	צרורות חרסיתיים
Clayley Sand	חול חרסיתי
Claystone	אבן חרסית
Cleavage	פצילות
Cleavage Planes|Cleavage Plane	מישורי פצילות
Closed Joint	סדק סגור, סדק שמסוגל לקבל מאמצים מסויימים, בדרך כלל מדובר בסדק ש'הודבק' עם חומר אחר
Coarse	גס, בשימוש לגודל אגרגט
Coarse Sand|Coarse Sands	כורכר, חול גס
Coarse Sandstone|Coarse Sandstones	כורכר
Coating	ציפוי
Code of Practice	דרישות התקן לביצוע, הנחיות לביצוע
Coefficient	מקדם
Coefficient of Earth Pressure at Rest|K0|Ko	מקדם לחץ הקרקע במנוחה
Coefficient of Permeability	מקדם החדירות
Cofferdam	מבנה אטים למים, בדרך כלל הכוונה לשיגומים אטימים שמוכנסים לים במטרה ליצור איזור אטום וסגור ממנו ניתן לשאוב את המים. לאחר השאיבה ניתן לצקת במקום מבנה קבוע בתנאים יבשים
Cohesion	קוהזיה
Cohesive	קוהזיה, כוחות קשירה
Cohesive Soil|Cohesive Soils	קרקע עם מידה כלשהי של כוחות קשירה ופלסטיות כדוגמת חרסית וחוואר
Collapse	התמוטטות של קרקע, גוש של קרקע הנופל וגורם לשינוי ניכר של קו החציבה, בניגוד לנפילה<BR>קריסה של מבנה
Collection Pipe	צינור איסוף
Column|Columns	עמוד
Common	מצוי, משותף
Common Practice	פרקטיקה מצוייה, ניסיון מעשי מקובל
Common Value|Common Values	ערך מצוי
Compact	קומפקטי
Compactor|Compactors	מכבש
Compensated Lifting Sling|Compensated Lifting Slings	פרט תלייה מיוחד המאפשר תלייה תוך חלוקת כוחות המתיחה בצורה שווה. הפרט עובד על בסיס גלגלת עליה מחליק כבל המחובר לגוף המורם בשתי נקודות שונות
Compensation Grouting	דיוס מאזן
Composite|Hybrid	מרוכב
Composite Panel Deck	טבלת קרום
Compressed Air	אוויר דחוס, אוויר בלחץ
Compressed Face	פן לחוץ, סיב לחוץ
Compression	לחיצה
Compressive Force|Compressive Forces	כוח לחיצה
Compressive Stress|Compressive Stresses	מאמץ לחיצה
Concentrated Force	כוח מרוכז
Concentrated Load	עומס מרוכז
Concrete	בטון
Concrete Cover	גובה כיסוי הבטון לזיון, המרחק מקצה מוט הזיון עד לפני הבטון החשופים
Concrete Cutting Saw|Concrete Cutting Saws	מסור לחיתוך בטון
Concrete Lead Pipe|Lead Pipe	צינור הבטון המוביל מיד לאחר ראש הדחיקה - המגן
Concrete Liner	הציפוי הבטון הפנימי של המנהרה
Concrete Lining	דיפון בטון
Concrete Mixer|Concrete Mixers|Mixer|Mixers	מערבל בטון, ערבל
Concrete Pipe	צינור בטון
Concrete Pump|Concrete Pumps	משאבת בטון
Concrete Thrust Wall	קיר תגובה, קיר המקבל את כוחות הדחיקה ומעביר אותם לקרקע
Conduit	תעלה, מובל, צינור
Configuration|Configurations	תצורה
Confined	כלוא
Confined Concrete	בטון כלוא
Confined Water	מים כלואים.<BR>מי תהום, הנמצאים מתחת לחומר בלתי חדיר ונמצאים בלחץ
Conglomerate|Conglomerates	קונגלומרט. <BR>חלוקי אבן (בארץ לרוב קווארץ) מעוגלים עם קוטר הגדול מ- 2 מ"מ נמצאים בתוך חומר מלכד
Connate Water	מים שנשארו בסלע מזמן שקיעתו והווצרותו
Connection	חיבור
Connection Tunnel|Connection Tunnels	מנהרה מקשרת
Connector|Connectors	מחבר
Conservative Design	תכנון שמרני, תכנון זהיר
Consistency	סומך, דרגת סומך קבועה
Consolidated	עבר קונסולידציה
Consolidation	קונסולידציה
Consolidation Grouting	דיוס קונסולידציה, דיוס מסלע בלתי יציב, דיוס הסדקים
Constructability	השימוש האופטימלי בניסיון וידע הנדסי, בכל הנוגע לקלות תכנון הנדסי והקמה כדי להשיג את היעד הכללי
Construction	מבנה, בנייה
Construction Joint|Construction Joints	תפר הפסקת יציקה
Construction Manager	מנהל אתר
Construction Material|Building Materials	חומרי בניין כגון צמנט, חול, חצץ, פלדה, סיד וכו'...
Construction Process	שיטת הבנייה, תהליך הבנייה
Construction Site|Building Site	אתר בנייה, האזור בו נערכת מלאכת הבנייה והתמך לתמיכה כגון מחסנים, מוסכים, משרדים וכו'...
Construction Works	עבודות בנייה
Consultant|Consultants	יועץ
Contact Grouting	דיוס מגע
Contact Pressure	מאמץ מגע
Contenet of Water	תכולת המים, תכולת המים בתערובת הבטון
Content of Cement	תכולת המלט, תכולת הצמנט בתערובת הבטון
Continunity	המשכיות, רציפות
Continuous Beam	קורה נמשכת, קורה הנשענת על מספר סמכים
Continuous Footing	יסוד נמשך
Contour	מתאר
Contract Documents	מסמכי החוזה
Contraction Joint|Contraction Joints	תפר התכווצות
Contractor	קבלן
Control	ריסון
Control Joint|Control Joints	תפר בקרה
Control Mix	תערובת בקרה
Controlled Blasting	פיצוץ מבוקר
Convergence	התכנסות
Convergence Meter|Convergence Meters	מד התכנסות, מד תזוזה
Convergence Meters|Convergence Meter	מדי התכנסות, מדי תזוזה
Convex Section	חתך קמור
Conveyor|Conveyors	מסוע
Conveyor Belt	מסוע, רצועת המסוע
Coordinate System|Coordinate Systems	מערכת קואורדינטות
Coordinates|Coordinate	קואורדינטות<BR>תיאום פעולות
Core|Cores	גלעין
Core Drilling	קדיחת גלעין
Core Recovery	השבת הגלעין, כמות הסלע הנקדח ונשאר כמסה גלעינית, מבוטא לרוב כאחוז מהקידוח התיאורטי
Corrosion	קורוזיה, שיתוך, איכול. צבע הקורוזיה משתנה בין אדום כהה לחום כהה. בתחילת התהליך הקורוזיה נראית בצורת גרגירים אך ככל שהתהליך מתקדם הקורוזיה הופכת לרבדים עד התקלפות. בסופו של דבר הקורוזיה יוצרת צלקת על גבי הרכיב
Corrugated Plate|Corrugated Plates	פלטה בדרך כלל מפלדה בעלת גליות שמשפרת את קשיחותה
Cost Estimation	אומדן עלות<BR>אומדן
Counterfort Wall|Counterfort|Counterfort Walls	קיר תמך קונזולי בעל אלמנטים אלכסוניים המחברים את קיר הדיפון עם הבסיס
Coupling	מחבר
Course of Action	דרך פעולה
Cover	כיסוי הקרקע מעל המנהרה
Crack|Cracks	סדק
Crack Formation|Cracks Formation	תצורת הסידוק, התהוות הסידוק
Crack Free|Cracks Free	לא סדוק, ללא סידוק
Crack Width	עובי סדק, פרמטר לתכנון רכיב בטון מתוח. ערך הפרמטר התכנוני נקבע על פי מטרת השימוש של הרכיב ומיקומו בייחס לסוגים שונים של קרקעות ומים
Cracked	סדוק
Cracking	היסדקות
Crane|Cranes	עגורן, מנוף
Creep	זחילה (זחילת בטון, זחילת קרקע)
Cross Section	חתך רוחב
Cross Sectional Area|Cross Section Area	שטח החתך
Crown	קמרון, החלק עליון הקמור בחתך המנהרה
Crushed	גרוס
Cube Strength	חוזק קובייה, חוזק לחיצה של קוביית בטון
Curb Master|Curb Masters	מכונה ליציקת שפה
Curing	אשפרה, אשפרת הבטון
Curing Compound	חומר מקרים, חומר איטום נוזלי
Curing Membrane	קרום אשפרה
Cut and Cover|Cut & Cover	חפירה וכיסוי, בניית מנהרה / מבנה בתהליך בעל שלושה שלבים: ביצוע חפירה, בניית המנהרה או המבנה וכיסוי המנהרה או המבנה בקרקע
Cutting	חיתוך, בדרך כלל הכוונה לחיתוך עם מכונת חיתוך
Cutting Edge|Sleeve Cutting	זר חותך, מולבש על המגן הקדמי בדחיקת צינורות
Cutting Excavator	זרוע חותכת למנהור
Dam|Dams	סכר
Damage|Damages	נזק
Data Collection	איסוף נתונים
Datum Load	עומס ייחוס
Dead Load|Dead Loads	עומס קבוע
Debonding Sleeves	שרוולי מגן
Debris	שפוכת, חפורת
Decay	ריקבון הנו הגורם העיקרי בהתדרדרות עץ. הריקבון נגרם ע"י פטרייה חיה שניזונה מדופן תאי העץ. עובש, כתמים, רקב קל (פחות חמור), ורקב בצבעים חום ולבן (חמור ביותר) הם הצורות השכיחות ביותר לפטרייה שיוצרת את הריקבון. העץ יכול לשנות את צבעו, להתרכך ואף עלול להיווצר איבוד חתך
Deep Foundation|Deep Foundations	יסוד השואב את יכולתו לתמוך את המבנה ע"י העברת העומסים ישירות לעומק הקרקע
Define|Defined	להגדיר, להבהיר, להגביל, לתחום
Deflection	כפף
Deformation	עיוות, דפורמציה, שינוי צורה
Deformed	מעוות
Depth	עומק
Description	תיאור
Design	תכנון, תכן
Design Drawings|Design Drawing	תכניות הנדסיות
Design Load|Design Loads|Working Load|Working Loads	עומס השירות או העבודה המתוכנן למשך קיים המבנה
Design Output	תפוקת התכן
Design Strength	חוזק תכן
Designer's Supervision|Designer Supervision	פיקוח עליון
Detailed Design	תכנון מפורט
Detailed Shop Drawings|Detailed Shop Drawing	תכניות ייצור מפורטות
Development Length	אורך עיגון
Dewatering	השפלה, השפלת מי תהום
Diameter	קוטר
Diaphragm Wall	קיר דיאפרגמה, קיר תמך סגור
Dig	חפירה, אתר
Digging	חפירה, בדרך כלל הכוונה ל-'חפירה בידיים' או בציוד פשוט
Dimension	ממד
Dip	נטיית מישור הסידוק, זוית הנטייה של מישור הסידוק ביחס למישור האופקי, קו החיתוך בהיטל האנכי בין מישור השבירה למישור אופקי
Discontinuities|Discontinuity	אי רציפויות הקיימות במסת הסלע
Discretization	חלוקה של מערכת נמשכת למקטעים סופיים, הערכת תוצאה על ידי חישוב בשיטת אלמנטים סופיים
Displacement|Displacements	תזוזה
Disposal	סילוק
Distance from Working Face	מרחק מהחזית, מרחק הנמדד מחזית הכרייה
Distinctive	שונה, מיוחד
Distortion	עיוות
Distributed	מפורס
Distributed Load	עומס מפורס
Distribution	פירוס, פילוג
Disturbance	הפרעה
Disturbed	מופר, מופרע
Disturbing Loads|Disturbing Load	הטרחות
Dolomite|Dolomites	דולומיט
Dolomitic Limestone	גיר דולומיטי
Dominate	לשלוט, להכריע
Dominating	שולט, מכריע
Dowel|Dowels	מיתד
Down the Hole	קידוח בו הפטיש ממוקם צמוד לראש הקידוח
Down the Hole Hammer	קדיחה במקדח פטיש
Draft|Drafts	טיוטה
Drainage	ניקוז, מערכת תיעול
Drainage Hole|Drainage Holes	חור ניקוז, קדח ניקוז
Drainage Niche	נישת ניקוז, גומחת ניקוז
Drawing|Drawings	תכנית
Drawing Conclusions	הסקת מסקנות
Drift|Drifts	מעבר תת-קרקעי, מעבר אופקי בין מנהרות או פירים בתת-הקרקע
Drill and Blast|Drill & Blast	קידוח פיצוץ
Drilling	קידוח
Drilling Jumbo	מקדח
Driven Pipe	צינור לדחיקה
Driven Rock Drill|Driven Rock Drills|Petrol Driven Rock Drill|Petrol Driven Rock Drills	מקדח סלע ממונע
Duct|Ducts	תעלה, מובל, מובל אוורור
Ductility	משיכות
Durability	קיים
Dynamic Load|Dynamic Loads	עומס דינמי
Dynamite	חומר נפץ בשם דינמיט
Earth Auger|Earth Augers	מקדח, קודח אדמה
Earth Loads|Earth Load	עומסי קרקע
Earth Moving Equipment	ציוד עבודות עפר
Earth Pressure	לחץ הקרקע
Earth Pressure Balance Machine|EPB|EPBM	מכונת מנהור עם איזון לחץ עפר.<BR>חזית הכרייה במכונת המנהור נתמכת על ידי לחץ החפורת הנשמרת בין חזית הכרייה למחיצה הקדמית. לחץ החפורת נשמר על ידי ויסות קצב פינוי החפורת בסרט לוליני
Earth Works	עבודות עפר
Earthquake|Earthquakes	רעידת אדמה
Earthquake Monitoring|Earthquakes Monitoring	ניטור רעידות אדמה
Earthquake Zones	אזורי רעידת אדמה
Earthworks|Earthwork	עבודות עפר
Eccentric Loading	העמסה אקסצנטרית, העמסה שלא בציר או העמסה עם מומנט כפיפה
Edge|Edges	קצה, שפה, שוליים, קאנט
Edge Spacing	רווח לקצה, מרחקים לקצה אלמנט
Effective Length	אורך פעיל
Efflorescence	תפרחת, התגבשות של מלחים מסיסים במים, Calcium Hydroxide Ca(OH)2, בדרך כלל בצבע לבן על פני הבטון
Elaborating	עיבוד<BR>תכנון לפרטים
Elastic	אלסטי, גמיש
Elastic Buckling	קריסה אלסטית
Elastic Deformation	דפורמציה אלסטית, עיוות בתחום האלסטי
Elastic Limit	גבול התחום האלסטי, נקודת הכניעה
Elastic Response	תגובה אלסטית, תגובה בתחום האלסטי של החומר
Elastically Support	סמך אלסטי, סמך קפיצי
Element	רכיב, אלמנט
Eliptical Cage|Eliptical Cages	כלוב זיון המוחדר לצינור עגול בצורה אליפטית כך שבראש הצינור ובתחתיתו יהווה את הזיון בסיב הפנימי ובצדדיו את הזיון בסיב החיצוני - בהתאם למיקומי הסיב המתוח
Embankment	סכר, סוללה
Emergency Vehicle|Emergency Vehicles	רכב חירום
Encoder|Encoders	התקן פענוח
